
step 0: train loss 6.1854 BPC, val loss 6.1780 BPC
iter 2170: loss 1.6353 BPC, time 54.73ms, mfu 6.70%
iter 2180: loss 1.6049 BPC, time 55.82ms, mfu 6.70%
iter 2190: loss 1.5974 BPC, time 55.78ms, mfu 6.70%
iter 2200: loss 1.6227 BPC, time 55.48ms, mfu 6.70%
iter 2210: loss 1.5958 BPC, time 53.50ms, mfu 6.72%
iter 2220: loss 1.6159 BPC, time 54.63ms, mfu 6.73%
iter 2230: loss 1.6159 BPC, time 54.90ms, mfu 6.74%
iter 2240: loss 1.6282 BPC, time 55.83ms, mfu 6.73%
step 2250: train loss 1.4554 BPC, val loss 2.1241 BPC
iter 2250: loss 1.5993 BPC, time 7665.40ms, mfu 6.06%
iter 2260: loss 1.6041 BPC, time 55.06ms, mfu 6.13%
iter 2270: loss 1.6455 BPC, time 56.25ms, mfu 6.18%
iter 2280: loss 1.5857 BPC, time 55.55ms, mfu 6.24%
iter 2290: loss 1.6489 BPC, time 54.61ms, mfu 6.29%
iter 2300: loss 1.6319 BPC, time 54.38ms, mfu 6.35%
iter 2310: loss 1.5798 BPC, time 56.51ms, mfu 6.37%
iter 2320: loss 1.5913 BPC, time 56.27ms, mfu 6.40%
iter 2330: loss 1.5816 BPC, time 55.68ms, mfu 6.43%
iter 2340: loss 1.6199 BPC, time 54.90ms, mfu 6.46%
iter 2350: loss 1.5921 BPC, time 55.45ms, mfu 6.49%
iter 2360: loss 1.5939 BPC, time 56.89ms, mfu 6.50%
iter 2370: loss 1.5728 BPC, time 55.28ms, mfu 6.52%
iter 2380: loss 1.5568 BPC, time 55.32ms, mfu 6.54%
iter 2390: loss 1.5550 BPC, time 55.12ms, mfu 6.56%
iter 2400: loss 1.5562 BPC, time 57.71ms, mfu 6.55%
iter 2410: loss 1.5449 BPC, time 56.01ms, mfu 6.56%
iter 2420: loss 1.5626 BPC, time 54.43ms, mfu 6.59%
iter 2430: loss 1.5101 BPC, time 57.52ms, mfu 6.58%
iter 2440: loss 1.5265 BPC, time 57.03ms, mfu 6.58%
iter 2450: loss 1.5396 BPC, time 56.62ms, mfu 6.58%
iter 2460: loss 1.5752 BPC, time 57.71ms, mfu 6.56%
iter 2470: loss 1.5684 BPC, time 56.06ms, mfu 6.57%
iter 2480: loss 1.5723 BPC, time 56.80ms, mfu 6.57%
iter 2490: loss 1.5159 BPC, time 57.48ms, mfu 6.56%
step 2500: train loss 1.3849 BPC, val loss 2.1360 BPC
iter 2500: loss 1.5718 BPC, time 7766.44ms, mfu 5.91%
iter 2510: loss 1.5395 BPC, time 57.23ms, mfu 5.97%
iter 2520: loss 1.5053 BPC, time 57.77ms, mfu 6.02%
iter 2530: loss 1.5248 BPC, time 58.08ms, mfu 6.06%
iter 2540: loss 1.5121 BPC, time 57.68ms, mfu 6.10%
iter 2550: loss 1.5439 BPC, time 56.16ms, mfu 6.15%
iter 2560: loss 1.5190 BPC, time 56.59ms, mfu 6.20%
iter 2570: loss 1.5480 BPC, time 56.94ms, mfu 6.23%
iter 2580: loss 1.5541 BPC, time 56.41ms, mfu 6.27%
iter 2590: loss 1.5483 BPC, time 57.94ms, mfu 6.28%
iter 2600: loss 1.5428 BPC, time 56.34ms, mfu 6.32%
iter 2610: loss 1.5124 BPC, time 57.61ms, mfu 6.33%
iter 2620: loss 1.5126 BPC, time 57.81ms, mfu 6.34%
iter 2630: loss 1.4777 BPC, time 55.72ms, mfu 6.38%
iter 2640: loss 1.5051 BPC, time 58.53ms, mfu 6.38%
iter 2650: loss 1.5399 BPC, time 58.22ms, mfu 6.38%
iter 2660: loss 1.5076 BPC, time 58.62ms, mfu 6.38%
iter 2670: loss 1.4659 BPC, time 57.40ms, mfu 6.39%
iter 2680: loss 1.5120 BPC, time 56.13ms, mfu 6.41%
iter 2690: loss 1.5236 BPC, time 57.96ms, mfu 6.42%
iter 2700: loss 1.4612 BPC, time 58.43ms, mfu 6.41%
iter 2710: loss 1.5072 BPC, time 57.22ms, mfu 6.42%
iter 2720: loss 1.5169 BPC, time 58.07ms, mfu 6.42%
iter 2730: loss 1.5226 BPC, time 56.99ms, mfu 6.43%
iter 2740: loss 1.4805 BPC, time 56.45ms, mfu 6.45%
step 2750: train loss 1.3204 BPC, val loss 2.1651 BPC
iter 2750: loss 1.4923 BPC, time 7815.88ms, mfu 5.81%
iter 2760: loss 1.4819 BPC, time 57.66ms, mfu 5.87%
iter 2770: loss 1.4715 BPC, time 58.12ms, mfu 5.93%
iter 2780: loss 1.4814 BPC, time 57.42ms, mfu 5.98%
iter 2790: loss 1.5022 BPC, time 57.83ms, mfu 6.03%
iter 2800: loss 1.4649 BPC, time 57.40ms, mfu 6.08%
iter 2810: loss 1.5032 BPC, time 57.25ms, mfu 6.12%
iter 2820: loss 1.4836 BPC, time 56.62ms, mfu 6.17%
iter 2830: loss 1.4795 BPC, time 55.98ms, mfu 6.21%
iter 2840: loss 1.4371 BPC, time 55.28ms, mfu 6.27%
iter 2850: loss 1.4766 BPC, time 57.59ms, mfu 6.29%
iter 2860: loss 1.4848 BPC, time 58.34ms, mfu 6.30%
iter 2870: loss 1.4423 BPC, time 57.36ms, mfu 6.32%
iter 2880: loss 1.4946 BPC, time 55.95ms, mfu 6.35%
iter 2890: loss 1.4614 BPC, time 55.86ms, mfu 6.38%
iter 2900: loss 1.4305 BPC, time 58.35ms, mfu 6.38%
iter 2910: loss 1.4980 BPC, time 58.39ms, mfu 6.38%
iter 2920: loss 1.4652 BPC, time 58.10ms, mfu 6.39%
iter 2930: loss 1.4232 BPC, time 56.60ms, mfu 6.41%
iter 2940: loss 1.4191 BPC, time 56.16ms, mfu 6.43%
iter 2950: loss 1.4716 BPC, time 57.45ms, mfu 6.43%
iter 2960: loss 1.4436 BPC, time 58.64ms, mfu 6.43%
iter 2970: loss 1.4321 BPC, time 57.26ms, mfu 6.43%
iter 2980: loss 1.4402 BPC, time 56.29ms, mfu 6.45%
iter 2990: loss 1.4314 BPC, time 58.31ms, mfu 6.45%
step 3000: train loss 1.2531 BPC, val loss 2.1885 BPC
iter 3000: loss 1.4288 BPC, time 7605.29ms, mfu 5.81%
iter 3010: loss 1.4297 BPC, time 56.98ms, mfu 5.88%
iter 3020: loss 1.4458 BPC, time 57.70ms, mfu 5.94%
iter 3030: loss 1.4470 BPC, time 55.29ms, mfu 6.02%
iter 3040: loss 1.4830 BPC, time 58.67ms, mfu 6.05%
iter 3050: loss 1.4212 BPC, time 56.39ms, mfu 6.11%
iter 3060: loss 1.4414 BPC, time 56.55ms, mfu 6.16%
iter 3070: loss 1.4715 BPC, time 57.88ms, mfu 6.18%
iter 3080: loss 1.4413 BPC, time 58.26ms, mfu 6.20%
iter 3090: loss 1.4226 BPC, time 58.15ms, mfu 6.23%
iter 3100: loss 1.4297 BPC, time 56.63ms, mfu 6.26%
iter 3110: loss 1.4070 BPC, time 57.52ms, mfu 6.28%
iter 3120: loss 1.4271 BPC, time 58.10ms, mfu 6.30%
iter 3130: loss 1.4210 BPC, time 58.32ms, mfu 6.30%
