
step 0: train loss 6.1854 BPC, val loss 6.1780 BPC
iter 2080: loss 1.6143 BPC, time 64.16ms, mfu 5.50%
iter 2090: loss 1.6326 BPC, time 62.70ms, mfu 5.54%
iter 2100: loss 1.6302 BPC, time 64.29ms, mfu 5.57%
iter 2110: loss 1.6241 BPC, time 62.61ms, mfu 5.61%
iter 2120: loss 1.6269 BPC, time 65.16ms, mfu 5.62%
iter 2130: loss 1.6394 BPC, time 63.08ms, mfu 5.65%
iter 2140: loss 1.6402 BPC, time 66.13ms, mfu 5.65%
iter 2150: loss 1.6119 BPC, time 64.25ms, mfu 5.66%
iter 2160: loss 1.6481 BPC, time 62.10ms, mfu 5.70%
iter 2170: loss 1.6238 BPC, time 65.86ms, mfu 5.69%
iter 2180: loss 1.6031 BPC, time 69.00ms, mfu 5.66%
iter 2190: loss 1.5906 BPC, time 64.99ms, mfu 5.67%
iter 2200: loss 1.6196 BPC, time 66.52ms, mfu 5.66%
iter 2210: loss 1.6017 BPC, time 64.18ms, mfu 5.68%
iter 2220: loss 1.6203 BPC, time 66.10ms, mfu 5.67%
iter 2230: loss 1.6066 BPC, time 64.36ms, mfu 5.69%
iter 2240: loss 1.6192 BPC, time 65.44ms, mfu 5.69%
step 2250: train loss 1.4523 BPC, val loss 2.1330 BPC
iter 2250: loss 1.6043 BPC, time 8201.69ms, mfu 5.12%
iter 2260: loss 1.5888 BPC, time 65.88ms, mfu 5.18%
iter 2270: loss 1.6357 BPC, time 64.30ms, mfu 5.24%
iter 2280: loss 1.5774 BPC, time 64.98ms, mfu 5.29%
iter 2290: loss 1.6385 BPC, time 65.54ms, mfu 5.33%
iter 2300: loss 1.6236 BPC, time 63.67ms, mfu 5.38%
iter 2310: loss 1.5755 BPC, time 64.19ms, mfu 5.42%
iter 2320: loss 1.5822 BPC, time 65.06ms, mfu 5.45%
iter 2330: loss 1.5766 BPC, time 62.29ms, mfu 5.51%
iter 2340: loss 1.6065 BPC, time 65.97ms, mfu 5.52%
iter 2350: loss 1.5927 BPC, time 63.88ms, mfu 5.55%
iter 2360: loss 1.5961 BPC, time 64.21ms, mfu 5.58%
iter 2370: loss 1.5611 BPC, time 64.96ms, mfu 5.59%
iter 2380: loss 1.5523 BPC, time 62.10ms, mfu 5.63%
iter 2390: loss 1.5529 BPC, time 64.65ms, mfu 5.65%
iter 2400: loss 1.5675 BPC, time 66.42ms, mfu 5.64%
iter 2410: loss 1.5436 BPC, time 64.43ms, mfu 5.66%
iter 2420: loss 1.5535 BPC, time 65.38ms, mfu 5.66%
iter 2430: loss 1.5139 BPC, time 66.87ms, mfu 5.65%
iter 2440: loss 1.5275 BPC, time 62.04ms, mfu 5.69%
iter 2450: loss 1.5369 BPC, time 65.99ms, mfu 5.68%
iter 2460: loss 1.5690 BPC, time 65.42ms, mfu 5.68%
iter 2470: loss 1.5677 BPC, time 65.69ms, mfu 5.68%
iter 2480: loss 1.5720 BPC, time 62.28ms, mfu 5.71%
iter 2490: loss 1.5218 BPC, time 65.14ms, mfu 5.71%
step 2500: train loss 1.3801 BPC, val loss 2.1555 BPC
iter 2500: loss 1.5596 BPC, time 8100.39ms, mfu 5.15%
iter 2510: loss 1.5371 BPC, time 62.01ms, mfu 5.23%
iter 2520: loss 1.5131 BPC, time 64.26ms, mfu 5.29%
iter 2530: loss 1.5256 BPC, time 63.00ms, mfu 5.35%
iter 2540: loss 1.5047 BPC, time 64.53ms, mfu 5.39%
iter 2550: loss 1.5392 BPC, time 64.81ms, mfu 5.43%
iter 2560: loss 1.5190 BPC, time 62.39ms, mfu 5.48%
iter 2570: loss 1.5526 BPC, time 64.65ms, mfu 5.51%
iter 2580: loss 1.5451 BPC, time 64.85ms, mfu 5.54%
iter 2590: loss 1.5256 BPC, time 64.43ms, mfu 5.56%
iter 2600: loss 1.5338 BPC, time 66.13ms, mfu 5.57%
iter 2610: loss 1.5188 BPC, time 64.11ms, mfu 5.59%
iter 2620: loss 1.5020 BPC, time 64.26ms, mfu 5.61%
iter 2630: loss 1.4760 BPC, time 62.05ms, mfu 5.65%
iter 2640: loss 1.5000 BPC, time 64.63ms, mfu 5.66%
iter 2650: loss 1.5318 BPC, time 64.97ms, mfu 5.67%
iter 2660: loss 1.4979 BPC, time 64.93ms, mfu 5.68%
iter 2670: loss 1.4706 BPC, time 66.49ms, mfu 5.67%
iter 2680: loss 1.5019 BPC, time 63.40ms, mfu 5.69%
iter 2690: loss 1.5111 BPC, time 64.95ms, mfu 5.70%
iter 2700: loss 1.4703 BPC, time 64.45ms, mfu 5.70%
iter 2710: loss 1.4985 BPC, time 62.11ms, mfu 5.73%
iter 2720: loss 1.5116 BPC, time 65.13ms, mfu 5.73%
iter 2730: loss 1.5222 BPC, time 64.77ms, mfu 5.73%
iter 2740: loss 1.4785 BPC, time 63.53ms, mfu 5.75%
step 2750: train loss 1.3150 BPC, val loss 2.1849 BPC
iter 2750: loss 1.4933 BPC, time 8070.77ms, mfu 5.18%
iter 2760: loss 1.4877 BPC, time 60.97ms, mfu 5.27%
iter 2770: loss 1.4792 BPC, time 65.09ms, mfu 5.32%
iter 2780: loss 1.4716 BPC, time 65.48ms, mfu 5.35%
iter 2790: loss 1.4947 BPC, time 62.10ms, mfu 5.42%
iter 2800: loss 1.4645 BPC, time 61.91ms, mfu 5.48%
iter 2810: loss 1.4866 BPC, time 66.00ms, mfu 5.50%
iter 2820: loss 1.4724 BPC, time 63.86ms, mfu 5.53%
iter 2830: loss 1.4776 BPC, time 65.22ms, mfu 5.55%
iter 2840: loss 1.4247 BPC, time 61.66ms, mfu 5.60%
iter 2850: loss 1.4813 BPC, time 62.62ms, mfu 5.63%
iter 2860: loss 1.4642 BPC, time 61.58ms, mfu 5.67%
