
step 0: train loss 6.0601 BPC, val loss 6.0586 BPC
iter 1390: loss 1.5963 BPC, time 321.90ms, mfu 7.38%
iter 1400: loss 1.5571 BPC, time 309.60ms, mfu 7.41%
iter 1410: loss 1.6062 BPC, time 318.40ms, mfu 7.42%
iter 1420: loss 1.5539 BPC, time 325.41ms, mfu 7.41%
iter 1430: loss 1.5866 BPC, time 315.21ms, mfu 7.43%
iter 1440: loss 1.5587 BPC, time 305.63ms, mfu 7.46%
iter 1450: loss 1.5375 BPC, time 323.65ms, mfu 7.45%
iter 1460: loss 1.5361 BPC, time 321.99ms, mfu 7.45%
iter 1470: loss 1.5123 BPC, time 318.90ms, mfu 7.45%
iter 1480: loss 1.5265 BPC, time 311.31ms, mfu 7.47%
iter 1490: loss 1.5494 BPC, time 326.90ms, mfu 7.45%
step 1500: train loss 1.4396 BPC, val loss 2.2006 BPC
iter 1500: loss 1.4998 BPC, time 35885.04ms, mfu 6.72%
iter 1510: loss 1.5224 BPC, time 326.14ms, mfu 6.77%
iter 1520: loss 1.4914 BPC, time 284.25ms, mfu 6.94%
iter 1530: loss 1.4906 BPC, time 316.47ms, mfu 7.00%
iter 1540: loss 1.4863 BPC, time 301.82ms, mfu 7.09%
iter 1550: loss 1.4756 BPC, time 301.54ms, mfu 7.17%
iter 1560: loss 1.4511 BPC, time 313.87ms, mfu 7.21%
iter 1570: loss 1.4987 BPC, time 328.71ms, mfu 7.21%
iter 1580: loss 1.4693 BPC, time 324.81ms, mfu 7.23%
iter 1590: loss 1.4376 BPC, time 289.51ms, mfu 7.33%
iter 1600: loss 1.5081 BPC, time 315.72ms, mfu 7.35%
iter 1610: loss 1.4573 BPC, time 329.45ms, mfu 7.34%
iter 1620: loss 1.4549 BPC, time 322.37ms, mfu 7.34%
iter 1630: loss 1.4206 BPC, time 322.00ms, mfu 7.35%
iter 1640: loss 1.4800 BPC, time 331.49ms, mfu 7.33%
iter 1650: loss 1.4268 BPC, time 318.58ms, mfu 7.35%
iter 1660: loss 1.4133 BPC, time 305.46ms, mfu 7.40%
iter 1670: loss 1.3854 BPC, time 314.08ms, mfu 7.41%
iter 1680: loss 1.4284 BPC, time 329.24ms, mfu 7.40%
iter 1690: loss 1.4461 BPC, time 317.70ms, mfu 7.41%
iter 1700: loss 1.4295 BPC, time 327.08ms, mfu 7.40%
iter 1710: loss 1.4290 BPC, time 318.16ms, mfu 7.41%
iter 1720: loss 1.4039 BPC, time 325.11ms, mfu 7.40%
iter 1730: loss 1.3516 BPC, time 316.44ms, mfu 7.41%
iter 1740: loss 1.3735 BPC, time 324.12ms, mfu 7.41%
step 1750: train loss 1.2723 BPC, val loss 2.2772 BPC
iter 1750: loss 1.3605 BPC, time 35846.62ms, mfu 6.67%
iter 1760: loss 1.3599 BPC, time 318.25ms, mfu 6.75%
iter 1770: loss 1.3396 BPC, time 316.15ms, mfu 6.83%
iter 1780: loss 1.3502 BPC, time 312.56ms, mfu 6.91%
iter 1790: loss 1.3396 BPC, time 326.83ms, mfu 6.95%
iter 1800: loss 1.3354 BPC, time 329.07ms, mfu 6.98%
iter 1810: loss 1.3351 BPC, time 322.63ms, mfu 7.02%
iter 1820: loss 1.3546 BPC, time 317.37ms, mfu 7.07%
iter 1830: loss 1.3237 BPC, time 322.06ms, mfu 7.10%
iter 1840: loss 1.2900 BPC, time 317.80ms, mfu 7.14%
